Row,Best_Algorithm
1,5
2,6
3,5
4,7
5,5
6,5
7,5
8,4
9,4
10,5
11,6
12,5
13,2
14,7
15,5
16,5
17,5
18,1
19,1
20,3
21,4
22,7
23,5
24,5
25,1
26,5
27,7
28,5
29,5
30,4
31,6
32,5
33,5
34,7
35,6
36,3
37,7
38,4
39,6
40,5
41,5
42,7
43,7
44,4
45,1
46,1
47,6
48,7
49,5
50,6
51,7
52,4
53,3
54,5
55,2
56,5
57,7
58,5
59,7
60,3
61,7
62,6
63,4
64,1
65,7
66,7
67,5
68,7
69,4
70,7
71,3
72,5
73,6
74,7
75,7
76,5
77,5
78,3
79,6
80,4
81,5
82,5
83,5
84,5
85,2
86,7
87,5
88,5
89,5
90,7
91,5
92,5
93,2
94,5
95,1
96,7
97,7
98,1
99,7
100,5
101,3
102,5
103,5
104,5
105,1
106,5
107,5
108,6
109,1
110,5
111,5
112,5
113,5
114,7
115,5
116,5
117,2
118,3
119,7
120,4
121,6
122,7
123,5
124,5
125,5
126,5
127,5
128,5
129,6
130,5
131,5
132,5
133,5
134,6
135,3
136,1
137,5
138,7
139,6
140,6
141,1
142,5
143,5
144,7
145,5
146,6
147,6
148,6
149,5
150,1
151,5
152,4
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,1
161,5
162,2
163,1
164,6
165,6
166,6
167,5
168,1
169,2
170,7
171,2
172,1
173,5
174,1
175,5
176,4
177,5
178,3
179,5
180,5
181,5
182,6
183,5
184,6
185,4
186,6
187,5
188,5
189,6
190,6
191,5
192,5
193,6
194,5
195,5
196,6
197,7
198,7
199,7
200,6
201,7
202,5
203,4
204,5
205,3
206,5
207,5
208,6
209,6
210,1
211,1
212,4
213,7
214,7
215,2
216,5
217,1
218,6
219,7
220,6
221,4
222,6
223,5
224,4
225,4
226,5
227,4
228,7
229,5
230,5
231,1
232,4
233,7
234,5
235,1
236,5
237,5
238,5
239,5
240,1
241,1
242,7
243,4
244,5
245,5
246,5
247,5
248,6
249,2
250,5
251,5
252,5
253,1
254,6
255,5
256,6
257,5
258,6
259,6
260,5
261,4
262,3
263,7
264,4
265,4
266,4
267,7
268,7
269,5
270,5
271,5
272,5
273,6
274,5
275,5
276,5
277,5
278,5
279,2
280,5
281,5
282,2
283,6
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,1
293,5
294,7
295,1
296,6
297,5
298,7
299,1
300,7
301,5
302,5
303,6
304,5
305,6
306,1
307,6
308,5
309,5
310,4
311,5
312,4
313,3
314,5
315,3
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,7
324,3
325,5
326,5
327,5
328,4
329,1
330,6
331,5
332,5
333,4
334,2
335,1
336,2
337,7
338,3
339,7
340,6
341,7
342,2
343,5
344,5
345,5
346,1
347,1
348,3
349,7
350,5
351,7
352,5
353,7
354,4
355,7
356,5
357,4
358,2
359,7
360,7
361,6
362,1
363,6
364,4
365,5
366,2
367,5
368,6
369,6
370,7
371,7
372,1
373,5
374,6
375,7
376,5
377,1
378,7
379,3
380,1
381,5
382,5
383,5
384,5
385,7
386,7
387,5
388,3
389,7
390,2
391,2
392,5
393,5
394,6
395,6
396,6
397,2
398,5
399,5
400,6
401,5
402,1
403,1
404,5
405,5
406,5
407,1
408,6
409,7
410,5
411,3
412,7
413,6
414,7
415,5
416,5
417,2
418,1
419,5
420,1
421,7
422,5
423,5
424,7
425,5
426,5
427,7
428,1
429,7
430,1
431,7
432,1
433,1
434,5
435,5
436,5
437,3
438,7
439,5
440,6
441,2
442,5
443,1
