CAS_number,chemical_name_NL,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
,,,M,Cwsat,LOG Kow,LOG Kd,group,,Vm,
,,,g/mol,g/m3,(-),(-),,,cm3/mol,g/m3
66-25-1,Hexaldehyde,Hexaldehyde,100.16,6000,1.78,,overige,3,,
71-55-6,"1,1,1-Trichloorethaan","1,1,1-Trichloroethane",133.4,2343.333333,2.8,0.760444292,ClAlk,1,,0.001
79-34-5,"1,1,2,2-Tetrachloorethaan","1,1,2,2-Tetrachloroethane",167.85,2900,2.39,,ClAlk,1,,
79-00-5,"1,1,2-Trichloorethaan","1,1,2-Trichloroethane",133.4,3055,1.89,0.753447145,ClAlk,1,,0.001
75342,"1,1-Dichloorethaan","1,1-Dichloroethane",98.96499987,5223.690293,1.79,0.360665595,ClAlk,1,,0.001
,"1,1-dichlooretheen","1,1-dichlooretheen",97,1824,2.13,0.589733613,ClAlk,1,,0.001
,"1,2,3,4-tetrachlorobenzene","1,2,3,4-tetrachlorobenzene",215.9,3.399273364,4.64,2.67369577,ClArom,1,,0.001
,"1,2,3,5-tetrachlorobenzene","1,2,3,5-tetrachlorobenzene",215.9,2.614957562,4.66,2.333981434,ClArom,1,,0.001
87-61-6,"1,2,3-Trichloorbenzeen","1,2,3-Trichlorobenzene",181.439995,13.62398701,4.14,1.994666142,ClArom,1,,0.001
96184,"1,2,3-trichloorpropaan","1,2,3-trichloropropane",147.43,1750,2.27,,,,,
526738,"1,2,3-trimethylbenzeen","1,2,3-trimethylbenzene",120.19,75.2,3.66,,,,,
,"1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene",120.19,75,3.6,,MAK,1,139.6,
,"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene",215.9,0.68248085,4.6,2.533894299,ClArom,1,,0.001
120-82-1,"1,2,4-Trichloorbenzeen","1,2,4-Trichlorobenzene",181.439995,28.80802015,4.05,2.044515105,ClArom,1,,0.001
95636,"1,2,4-trimethylbenzeen","1,2,4-trimethylbenzene",120.19,57,3.78,,,,,
95-50-1,"1,2-Dichloorbenzeen","1,2-Dichlorobenzene",147.0024999,140.218586,3.43,1.36831917,ClArom,1,,0.001
107-06-2,"1,2-Dichloorethaan","1,2-Dichloroethane",98.97333154,10188.83247,1.47,0.311244667,ClAlk,1,79.4,0.003
156-59-2,"1,2-Dichlooretheen(cis)","1,2-dichloro-, (Z)-Ethene",96.95,775.6,1.906666667,0.625232261,ClAlk,1,,0.001
540-59-0,"1,2-dichlooretheen(cisentrans)","1,2-dichloroEthene",96.95,775.6,1.27,,ClAlk,1,,
156-60-5,"1,2-dichlooretheen(trans)","1,2-dichloro-, (1E)-Ethene",96.95,581.7,1.09,0.627641144,ClAlk,1,,0.001
,"1,2-Dichloorfenol","1,2-Dichloorphenol",163,904.5313384,2.84,1.436666667,Cl,3,,
78-87-5,"1,2-dichloorpropaan","1,2-Dichloropropane",113,1469,1.99,0.392478925,ClAlk,1,,0.001
,"1,2-dimethylnaphthalene","1,2-dimethylnaphthalene",156,,4.31,,PAK,1,154.2,
108-70-3,"1,3,5-Trichloorbenzeen","1,3,5-Trichlorobenzene",181.4249983,4.711953407,4.19,2.744256831,ClArom,1,,0.001
108-67-8,"1,3,5-Trimethylbenzeen","1,3,5-Trimethylbenzene",120.19,11.45,3.51,,MAK,1,,
541-73-1,"1,3-Dichloorbenzeen","1,3-Dichlorobenzene",147,114.3333333,3.4,1.546462047,ClArom,1,,0.001
,"1,3-dichloorpropaan","1,3-dichloropropane",113,1469,1.99,0.392478925,ClAlk,1,,0.001
,"1,3-dimethylnaphthalene","1,3-dimethylnaphthalene",156,,4.42,,PAK,1,155.8,
,"1,4,6,7-tetramethylnaphthalene","1,4,6,7-tetramethylnaphthalene",184,,5.36,,PAK,1,186,
106-46-7,"1,4-Dichloorbenzeen","1,4-Dichlorobenzene",147.0019999,60.52630716,3.44,1.586462047,ClArom,1,,0.001
,"1,4-dimethylnaphthalene","1,4-dimethylnaphthalene",156,,4.37,,PAK,1,155.6,
123-91-1,"1,4-Dioxane {p-dioxane} ","1,4-Dioxane ",88.11,1000000,-0.27,,overige,3,,
,"1,8-dimethylnaphthalene","1,8-dimethylnaphthalene",156,,4.32,,PAK,1,155.6,
71-36-3,1-Butanol,1-Butanol,74.12,63200,0.88,,O2,3,,
109693,1-chloorbutaan,1-chlorobutane,92.57,0.87,2.39,,,,,
90131,1-chloornaftaleen,1-chloornaphthalene,162.6059998,16.80146852,4.1,2.18418207,Cl,3,,0.001
,1-Chloronaphthalene,1-Chloronaphthalene,162.62,17.4,4,,ClArom,1,137.7,
 111-27-3 ,1-Hexanol {Hexylalcohol},1-Hexanol,102.18,5900,2.03,,O2,3,,
,1-methylfluorene,1-methylfluorene,180,,4.97,,PAK,1,169.4,
,1-methylnaphthalene,1-methylnaphthalene,142,,3.87,,PAK,1,139.9,
,1-methylphenanthrene,1-methylphenanthrene,192,,5.08,,PAK,1,175.9,
,1-methylpyrene,1-methylpyrene,216,,5.48,,PAK,1,197.7,
71-41-0,1-Pentanol,1-Pentanol,88.15,22000,1.51,,O2,3,,
,2-(2-Hydroxy-3.t-butyl-5-methylphenyl-5-Chloro-benztriazol (Tinuvin 326),2-(2-Hydroxy-3.t-butyl-5-methylphenyl-5-Chloro-benztriazol,315.8,,,,overige,3,,
25167-70-8,"2,2,4-Trimethylpentaan","2,2,4-Trimethylpentane",112.21,14.2,4.37,,Alk,1,,
15950-66-0,"2,3,4-Trichloorfenol","2,3,4-Trichlorophenol",197.5,71.1,3.8,1.845017825,Cl,3,,0.001
,"2,3,5,6,-Tetramethyl-phenol","2,3,5,6,-Tetramethyl-phenol",150,,,,overige,3,,
935-95-5,"2,3,5,6-Tetrachloorfenol","2,3,5,6-Tetrachlorophenol",231.9,4.79,3.88,2.10431794,Cl,3,,0.001
