Wavelength (nm);Responsivity (A/W);Quantum Efficiency
350;0.15060;0.53349
351;0.15044;0.53140
352;0.15028;0.52933
353;0.15012;0.52727
354;0.14996;0.52522
355;0.14980;0.52318
356;0.14964;0.52115
357;0.14948;0.51914
358;0.14932;0.51713
359;0.14916;0.51514
360;0.14900;0.51316
361;0.14884;0.51119
362;0.14868;0.50923
363;0.14852;0.50728
364;0.14836;0.50534
365;0.14820;0.50341
366;0.14804;0.50149
367;0.14788;0.49959
368;0.14772;0.49769
369;0.14756;0.49580
370;0.14740;0.49393
371;0.14862;0.49667
372;0.14984;0.49940
373;0.15106;0.50212
374;0.15228;0.50482
375;0.15350;0.50751
376;0.15472;0.51018
377;0.15594;0.51284
378;0.15716;0.51549
379;0.15838;0.51812
380;0.15960;0.52073
381;0.16082;0.52334
382;0.16204;0.52593
383;0.16326;0.52850
384;0.16448;0.53107
385;0.16570;0.53362
386;0.16692;0.53615
387;0.16814;0.53867
388;0.16936;0.54118
389;0.17058;0.54368
390;0.17180;0.54617
391;0.17282;0.54800
392;0.17384;0.54983
393;0.17486;0.55165
394;0.17588;0.55346
395;0.17690;0.55526
396;0.17792;0.55705
397;0.17894;0.55883
398;0.17996;0.56061
399;0.18098;0.56237
400;0.18200;0.56413
401;0.18302;0.56587
402;0.18404;0.56761
403;0.18506;0.56934
404;0.18608;0.57106
405;0.18710;0.57278
406;0.18812;0.57448
407;0.18914;0.57618
408;0.19016;0.57786
409;0.19118;0.57954
410;0.19220;0.58121
411;0.19303;0.58229
412;0.19385;0.58336
413;0.19468;0.58442
414;0.19550;0.58548
415;0.19633;0.58653
416;0.19715;0.58758
417;0.19798;0.58863
418;0.19880;0.58967
419;0.19963;0.59070
420;0.20045;0.59173
421;0.20128;0.59275
422;0.20210;0.59377
423;0.20293;0.59479
424;0.20375;0.59580
425;0.20458;0.59680
426;0.20540;0.59780
427;0.20623;0.59880
428;0.20705;0.59979
429;0.20788;0.60077
430;0.20870;0.60176
431;0.20943;0.60246
432;0.21016;0.60316
433;0.21089;0.60386
434;0.21162;0.60455
435;0.21235;0.60524
436;0.21308;0.60593
437;0.21381;0.60661
438;0.21454;0.60730
439;0.21527;0.60797
440;0.21600;0.60865
441;0.21673;0.60932
442;0.21746;0.60999
443;0.21819;0.61066
444;0.21892;0.61132
445;0.21965;0.61198
446;0.22038;0.61264
447;0.22111;0.61329
448;0.22184;0.61394
449;0.22257;0.61459
450;0.22330;0.61524
451;0.22398;0.61573
452;0.22465;0.61622
453;0.22533;0.61671
454;0.22600;0.61719
455;0.22668;0.61767
456;0.22735;0.61815
457;0.22803;0.61863
458;0.22870;0.61911
459;0.22938;0.61958
460;0.23005;0.62006
461;0.23073;0.62053
462;0.23140;0.62099
463;0.23208;0.62146
464;0.23275;0.62193
465;0.23343;0.62239
466;0.23410;0.62285
467;0.23478;0.62331
468;0.23545;0.62376
469;0.23613;0.62422
470;0.23680;0.62467
471;0.23745;0.62504
472;0.23809;0.62541
473;0.23874;0.62578
474;0.23938;0.62615
475;0.24003;0.62651
476;0.24067;0.62688
477;0.24132;0.62724
478;0.24196;0.62760
479;0.24261;0.62796
480;0.24325;0.62832
481;0.24390;0.62867
482;0.24454;0.62903
483;0.24519;0.62938
484;0.24583;0.62973
485;0.24648;0.63008
486;0.24712;0.63043
487;0.24777;0.63078
488;0.24841;0.63113
489;0.24906;0.63147
490;0.24970;0.63181
491;0.25032;0.63209
492;0.25094;0.63237
493;0.25156;0.63265
494;0.25218;0.63292
495;0.25280;0.63320
496;0.25342;0.63347
497;0.25404;0.63374
498;0.25466;0.63401
499;0.25528;0.63428
500;0.25590;0.63455
501;0.25652;0.63482
502;0.25714;0.63509
503;0.25776;0.63535
504;0.25838;0.63562
505;0.25900;0.63588
506;0.25962;0.63614
507;0.26024;0.63640
508;0.26086;0.63666
509;0.26148;0.63692
