Wavelength (nm);Responsivity (A/W);Quantum Efficiency
350;0.04196;0.14864
351;0.04120;0.14554
352;0.04047;0.14256
353;0.03987;0.14005
354;0.03919;0.13724
355;0.03842;0.13419
356;0.03814;0.13283
357;0.03771;0.13096
358;0.03720;0.12885
359;0.03689;0.12740
360;0.03646;0.12557
361;0.03609;0.12395
362;0.03593;0.12306
363;0.03557;0.12149
364;0.03531;0.12029
365;0.03514;0.11937
366;0.03497;0.11847
367;0.03478;0.11749
368;0.03458;0.11652
369;0.03455;0.11608
370;0.03442;0.11535
371;0.03472;0.11604
372;0.03499;0.11662
373;0.03532;0.11739
374;0.03578;0.11863
375;0.03619;0.11967
376;0.03663;0.12080
377;0.03717;0.12226
378;0.03765;0.12350
379;0.03830;0.12529
380;0.03887;0.12681
381;0.03954;0.12868
382;0.04023;0.13058
383;0.04094;0.13255
384;0.04171;0.13467
385;0.04253;0.13695
386;0.04337;0.13931
387;0.04424;0.14174
388;0.04515;0.14428
389;0.04606;0.14682
390;0.04708;0.14966
391;0.04799;0.15219
392;0.04895;0.15482
393;0.04996;0.15760
394;0.05098;0.16043
395;0.05206;0.16341
396;0.05312;0.16631
397;0.05421;0.16930
398;0.05531;0.17229
399;0.05636;0.17513
400;0.05757;0.17843
401;0.05875;0.18163
402;0.05997;0.18495
403;0.06119;0.18826
404;0.06240;0.19150
405;0.06363;0.19479
406;0.06497;0.19840
407;0.06618;0.20159
408;0.06745;0.20496
409;0.06872;0.20833
410;0.07005;0.21182
411;0.07131;0.21512
412;0.07252;0.21825
413;0.07380;0.22155
414;0.07512;0.22497
415;0.07635;0.22810
416;0.07767;0.23149
417;0.07886;0.23448
418;0.08022;0.23793
419;0.08150;0.24116
420;0.08281;0.24446
421;0.08407;0.24758
422;0.08552;0.25127
423;0.08678;0.25436
424;0.08813;0.25772
425;0.08942;0.26085
426;0.09082;0.26433
427;0.09218;0.26765
428;0.09341;0.27060
429;0.09482;0.27405
430;0.09617;0.27729
431;0.09746;0.28035
432;0.09879;0.28353
433;0.10014;0.28675
434;0.10138;0.28961
435;0.10273;0.29281
436;0.10403;0.29584
437;0.10530;0.29877
438;0.10664;0.30186
439;0.10793;0.30483
440;0.10920;0.30770
441;0.11052;0.31072
442;0.11183;0.31368
443;0.11308;0.31649
444;0.11443;0.31953
445;0.11568;0.32229
